"Pair.Name","Ligand.ApprovedSymbol","Ligand.Name","Receptor.ApprovedSymbol","Receptor.Name","DLRP","HPMR","IUPHAR","HPRD","HPMR.Ligand","HPMR.Receptor","Pair.Source","Pair.Evidence","pathway_name","annotation","match_status"
"NRXN3_NLGN2","NRXN3",NA,"NLGN2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","NRXN","Cell-Cell Contact","added"
"NRXN3_NLGN3","NRXN3",NA,"NLGN3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","NRXN","Cell-Cell Contact","added"
"OCLN_OCLN","OCLN",NA,"OCLN",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","OCLN","Cell-Cell Contact","added"
"CD274_PDCD1","CD274",NA,"PDCD1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PD-L1","Cell-Cell Contact","added"
"PDCD1LG2_PDCD1","PDCD1LG2",NA,"PDCD1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PDL2","Cell-Cell Contact","added"
"PECAM1_PECAM1","PECAM1",NA,"PECAM1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PECAM1","Cell-Cell Contact","added"
"PTPRM_PTPRM","PTPRM",NA,"PTPRM",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PTPRM","Cell-Cell Contact","added"
"PVR_CD226","PVR",NA,"CD226",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PVR","Cell-Cell Contact","added"
"PVR_TIGIT","PVR",NA,"TIGIT",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PVR","Cell-Cell Contact","added"
"SELE_CD44","SELE",NA,"CD44",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SELE","Cell-Cell Contact","added"
"SELE_GLG1","SELE",NA,"GLG1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SELE","Cell-Cell Contact","added"
"SELL_CD34","SELL",NA,"CD34",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SELL","Cell-Cell Contact","added"
"SELL_PODXL","SELL",NA,"PODXL",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SELL","Cell-Cell Contact","added"
"SELL_GLYCAM1","SELL",NA,"GLYCAM1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SELL","Cell-Cell Contact","added"
"SELL_MADCAM1","SELL",NA,"MADCAM1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SELL","Cell-Cell Contact","added"
"SELPLG_SELE","SELPLG",NA,"SELE",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SELPLG","Cell-Cell Contact","added"
"SELPLG_SELL","SELPLG",NA,"SELL",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SELPLG","Cell-Cell Contact","added"
"SELPLG_SELP","SELPLG",NA,"SELP",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SELPLG","Cell-Cell Contact","added"
"SEMA4A_PLXNA1","SEMA4A",NA,"PLXNA1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA4","Cell-Cell Contact","added"
"SEMA4A_PLXNA2","SEMA4A",NA,"PLXNA2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA4","Cell-Cell Contact","added"
"SEMA4A_PLXNA3","SEMA4A",NA,"PLXNA3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA4","Cell-Cell Contact","added"
"SEMA4A_PLXNA4","SEMA4A",NA,"PLXNA4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA4","Cell-Cell Contact","added"
"SEMA4A_PLXNB1","SEMA4A",NA,"PLXNB1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA4","Cell-Cell Contact","added"
"SEMA4A_PLXNB2","SEMA4A",NA,"PLXNB2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA4","Cell-Cell Contact","added"
"SEMA4A_PLXNB3","SEMA4A",NA,"PLXNB3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA4","Cell-Cell Contact","added"
"SEMA4D_PLXNB1","SEMA4D",NA,"PLXNB1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA4","Cell-Cell Contact","added"
"SEMA4D_PLXNB2","SEMA4D",NA,"PLXNB2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA4","Cell-Cell Contact","added"
"SEMA4D_PLXNB3","SEMA4D",NA,"PLXNB3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA4","Cell-Cell Contact","added"
"SEMA4C_PLXNB2","SEMA4C",NA,"PLXNB2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA4","Cell-Cell Contact","added"
"SEMA4G_PLXNB2","SEMA4G",NA,"PLXNB2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA4","Cell-Cell Contact","added"
"SEMA4D_CD72","SEMA4D",NA,"CD72",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA4","Cell-Cell Contact","added"
"SEMA5A_PLXNA1","SEMA5A",NA,"PLXNA1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA5","Cell-Cell Contact","added"
"SEMA5B_PLXNA1","SEMA5B",NA,"PLXNA1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA5","Cell-Cell Contact","added"
"SEMA5A_PLXNA3","SEMA5A",NA,"PLXNA3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA5","Cell-Cell Contact","added"
"SEMA5B_PLXNA3","SEMA5B",NA,"PLXNA3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA5","Cell-Cell Contact","added"
"SEMA5A_PLXNB3","SEMA5A",NA,"PLXNB3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA5","Cell-Cell Contact","added"
"SEMA6D_KDR","SEMA6D",NA,"KDR",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA6","Cell-Cell Contact","added"
"SEMA6D_TREM2","SEMA6D",NA,"TREM2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA6","Cell-Cell Contact","added"
"SEMA6D_TYROBP","SEMA6D",NA,"TYROBP",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA6","Cell-Cell Contact","added"
"SEMA6A_PLXNA2","SEMA6A",NA,"PLXNA2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA6","Cell-Cell Contact","added"
"SEMA6B_PLXNA2","SEMA6B",NA,"PLXNA2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA6","Cell-Cell Contact","added"
"SEMA6A_PLXNA4","SEMA6A",NA,"PLXNA4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA6","Cell-Cell Contact","added"
"SEMA6B_PLXNA4","SEMA6B",NA,"PLXNA4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA6","Cell-Cell Contact","added"
"SEMA7A_ITGB1","SEMA7A",NA,"ITGB1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA7","Cell-Cell Contact","added"
"SEMA7A_ITGA1","SEMA7A",NA,"ITGA1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA7","Cell-Cell Contact","added"
"SEMA7A_PLXNC1","SEMA7A",NA,"PLXNC1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SEMA7","Cell-Cell Contact","added"
"SIGLEC1_SPN","SIGLEC1",NA,"SPN",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","SN","Cell-Cell Contact","added"
"THY1_ITGAM","THY1",NA,"ITGAM",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","THY1","Cell-Cell Contact","added"
"THY1_ITGAX","THY1",NA,"ITGAX",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","THY1","Cell-Cell Contact","added"
"THY1_ITGAV","THY1",NA,"ITGAV",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","THY1","Cell-Cell Contact","added"
"THY1_ITGB3","THY1",NA,"ITGB3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","THY1","Cell-Cell Contact","added"
"ITGA9_VCAM1","ITGA9",NA,"VCAM1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","VCAM","Cell-Cell Contact","added"
"ITGB7_VCAM1","ITGB7",NA,"VCAM1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","VCAM","Cell-Cell Contact","added"
"VSIR_IGSF11","VSIR",NA,"IGSF11",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","VISTA","Cell-Cell Contact","added"
"CDH3_CDH3","CDH3",NA,"CDH3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CDH","Cell-Cell Contact","added"
"CDH12_ITGB1","CDH12",NA,"ITGB1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CDH","Cell-Cell Contact","added"
"CDH12_ITGA1","CDH12",NA,"ITGA1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CDH","Cell-Cell Contact","added"
"DSC1_DSG3","DSC1",NA,"DSG3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","DESMOSOME","Cell-Cell Contact","added"
"DSC1_DSG4","DSC1",NA,"DSG4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","DESMOSOME","Cell-Cell Contact","added"
"DSC2_DSG3","DSC2",NA,"DSG3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","DESMOSOME","Cell-Cell Contact","added"
"DSC2_DSG4","DSC2",NA,"DSG4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","DESMOSOME","Cell-Cell Contact","added"
"DSC3_DSG3","DSC3",NA,"DSG3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","DESMOSOME","Cell-Cell Contact","added"
"DSC3_DSG4","DSC3",NA,"DSG4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","DESMOSOME","Cell-Cell Contact","added"
"GJA5_GJA5","GJA5",NA,"GJA5",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","GAP","Cell-Cell Contact","added"
"GJA1_GJA5","GJA1",NA,"GJA5",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","GAP","Cell-Cell Contact","added"
"GJC1_GJA5","GJC1",NA,"GJA5",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","GAP","Cell-Cell Contact","added"
"GJA3_GJA5","GJA3",NA,"GJA5",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","GAP","Cell-Cell Contact","added"
"GJA1_GJA1","GJA1",NA,"GJA1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","GAP","Cell-Cell Contact","added"
"GJC1_GJA1","GJC1",NA,"GJA1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","GAP","Cell-Cell Contact","added"
"GJA3_GJA1","GJA3",NA,"GJA1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","GAP","Cell-Cell Contact","added"
"GJC1_GJC1","GJC1",NA,"GJC1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","GAP","Cell-Cell Contact","added"
"GJA3_GJC1","GJA3",NA,"GJC1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","GAP","Cell-Cell Contact","added"
"GJA3_GJA3","GJA3",NA,"GJA3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","GAP","Cell-Cell Contact","added"
"CLDN1_CLDN1","CLDN1",NA,"CLDN1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CLDN","Cell-Cell Contact","added"
"CLDN2_CLDN2","CLDN2",NA,"CLDN2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CLDN","Cell-Cell Contact","added"
"CLDN3_CLDN3","CLDN3",NA,"CLDN3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","CLDN","Cell-Cell Contact","added"
"PCDHA10_PCDHA10","PCDHA10",NA,"PCDHA10",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHA11_PCDHA11","PCDHA11",NA,"PCDHA11",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHA12_PCDHA12","PCDHA12",NA,"PCDHA12",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHA13_PCDHA13","PCDHA13",NA,"PCDHA13",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHA1_PCDHA1","PCDHA1",NA,"PCDHA1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHA2_PCDHA2","PCDHA2",NA,"PCDHA2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHA3_PCDHA3","PCDHA3",NA,"PCDHA3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHA4_PCDHA4","PCDHA4",NA,"PCDHA4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHA5_PCDHA5","PCDHA5",NA,"PCDHA5",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHA6_PCDHA6","PCDHA6",NA,"PCDHA6",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHA7_PCDHA7","PCDHA7",NA,"PCDHA7",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHA8_PCDHA8","PCDHA8",NA,"PCDHA8",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHA9_PCDHA9","PCDHA9",NA,"PCDHA9",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHAC1_PCDHAC1","PCDHAC1",NA,"PCDHAC1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHAC2_PCDHAC2","PCDHAC2",NA,"PCDHAC2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHB1_PCDHB1","PCDHB1",NA,"PCDHB1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHB10_PCDHB10","PCDHB10",NA,"PCDHB10",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHB11_PCDHB11","PCDHB11",NA,"PCDHB11",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHB12_PCDHB12","PCDHB12",NA,"PCDHB12",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHB13_PCDHB13","PCDHB13",NA,"PCDHB13",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHB14_PCDHB14","PCDHB14",NA,"PCDHB14",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHB15_PCDHB15","PCDHB15",NA,"PCDHB15",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHB16_PCDHB16","PCDHB16",NA,"PCDHB16",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHB2_PCDHB2","PCDHB2",NA,"PCDHB2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHB3_PCDHB3","PCDHB3",NA,"PCDHB3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHB4_PCDHB4","PCDHB4",NA,"PCDHB4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHB5_PCDHB5","PCDHB5",NA,"PCDHB5",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHB6_PCDHB6","PCDHB6",NA,"PCDHB6",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHB7_PCDHB7","PCDHB7",NA,"PCDHB7",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHB8_PCDHB8","PCDHB8",NA,"PCDHB8",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHB9_PCDHB9","PCDHB9",NA,"PCDHB9",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGA1_PCDHGA1","PCDHGA1",NA,"PCDHGA1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGA10_PCDHGA10","PCDHGA10",NA,"PCDHGA10",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGA11_PCDHGA11","PCDHGA11",NA,"PCDHGA11",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGA12_PCDHGA12","PCDHGA12",NA,"PCDHGA12",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGA2_PCDHGA2","PCDHGA2",NA,"PCDHGA2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGA3_PCDHGA3","PCDHGA3",NA,"PCDHGA3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGA4_PCDHGA4","PCDHGA4",NA,"PCDHGA4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGA5_PCDHGA5","PCDHGA5",NA,"PCDHGA5",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGA6_PCDHGA6","PCDHGA6",NA,"PCDHGA6",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGA7_PCDHGA7","PCDHGA7",NA,"PCDHGA7",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGA8_PCDHGA8","PCDHGA8",NA,"PCDHGA8",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGA9_PCDHGA9","PCDHGA9",NA,"PCDHGA9",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGB1_PCDHGB1","PCDHGB1",NA,"PCDHGB1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGB2_PCDHGB2","PCDHGB2",NA,"PCDHGB2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGB3_PCDHGB3","PCDHGB3",NA,"PCDHGB3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGB4_PCDHGB4","PCDHGB4",NA,"PCDHGB4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGB5_PCDHGB5","PCDHGB5",NA,"PCDHGB5",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGB6_PCDHGB6","PCDHGB6",NA,"PCDHGB6",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGB7_PCDHGB7","PCDHGB7",NA,"PCDHGB7",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGC3_PCDHGC3","PCDHGC3",NA,"PCDHGC3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGC4_PCDHGC4","PCDHGC4",NA,"PCDHGC4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"PCDHGC5_PCDHGC5","PCDHGC5",NA,"PCDHGC5",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PCDH","Cell-Cell Contact","added"
"KLK6_F2R","KLK6",NA,"F2R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","KLK","Secreted Signaling","added"
"KLK6_F2RL1","KLK6",NA,"F2RL1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","KLK","Secreted Signaling","added"
"KLK5_F2RL1","KLK5",NA,"F2RL1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","KLK","Secreted Signaling","added"
"KLK4_F2R","KLK4",NA,"F2R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","KLK","Secreted Signaling","added"
"KLK1_F2R","KLK1",NA,"F2R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","KLK","Secreted Signaling","added"
"KLK2_F2R","KLK2",NA,"F2R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","KLK","Secreted Signaling","added"
"KLK14_F2R","KLK14",NA,"F2R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","KLK","Secreted Signaling","added"
"KLK4_F2RL1","KLK4",NA,"F2RL1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","KLK","Secreted Signaling","added"
"KLK2_F2RL1","KLK2",NA,"F2RL1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","KLK","Secreted Signaling","added"
"KLK14_F2RL1","KLK14",NA,"F2RL1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","KLK","Secreted Signaling","added"
"KLK7_F2RL1","KLK7",NA,"F2RL1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","KLK","Secreted Signaling","added"
"KLK8_F2R","KLK8",NA,"F2R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","KLK","Secreted Signaling","added"
"PROC_HSP90AA1","PROC",NA,"HSP90AA1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PROCR","Secreted Signaling","added"
"PROC_F2R","PROC",NA,"F2R",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","PROCR","Secreted Signaling","added"
"VTN_PLAUR","VTN",NA,"PLAUR",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","VTN","ECM-Receptor","added"
"SLC10A4_CHRNE","SLC10A4",NA,"CHRNE",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC10A4_CHRNG","SLC10A4",NA,"CHRNG",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC10A4_CHRNA3","SLC10A4",NA,"CHRNA3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC10A4_CHRNB4","SLC10A4",NA,"CHRNB4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC10A4_CHRNA4","SLC10A4",NA,"CHRNA4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC10A4_CHRNB2","SLC10A4",NA,"CHRNB2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC10A4_CHRNA7","SLC10A4",NA,"CHRNA7",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC18A3_CHRNE","SLC18A3",NA,"CHRNE",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC18A3_CHRNG","SLC18A3",NA,"CHRNG",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC18A3_CHRNA3","SLC18A3",NA,"CHRNA3",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC18A3_CHRNB4","SLC18A3",NA,"CHRNB4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC18A3_CHRNA4","SLC18A3",NA,"CHRNA4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC18A3_CHRNB2","SLC18A3",NA,"CHRNB2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC18A3_CHRNA7","SLC18A3",NA,"CHRNA7",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC5A7_CHRNE","SLC5A7",NA,"CHRNE",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC5A7_CHRNG","SLC5A7",NA,"CHRNG",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC5A7_CHRNA4","SLC5A7",NA,"CHRNA4",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC5A7_CHRNB2","SLC5A7",NA,"CHRNB2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SLC5A7_CHRNA7","SLC5A7",NA,"CHRNA7",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","Ach","Non-protein Signaling","added"
"SDC1_ADGRA2","SDC1",NA,"ADGRA2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","ADGRA","Cell-Cell Contact","added"
"SDC2_ADGRA2","SDC2",NA,"ADGRA2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","ADGRA","Cell-Cell Contact","added"
"ITGAV_ADGRA2","ITGAV",NA,"ADGRA2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","ADGRA","Cell-Cell Contact","added"
"ITGB3_ADGRA2","ITGB3",NA,"ADGRA2",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","ADGRA","Cell-Cell Contact","added"
"TAX1BP3_ADGRB1","TAX1BP3",NA,"ADGRB1",NA,NA,NA,NA,NA,NA,NA,"added_from_out","literature supported","ADGRB","Cell-Cell Contact","added"
